Participant ID,Experience Level,Order,Task,Condition,Pair 1,Pair 2,score,alt_group_score,pos_diff_score,rel_dist_diff_score,size_diff_score
10,N,2,social,baseline,Alternative 3,Alternative 2,0.725027872,0,0.428366501,0,0.296661372
10,N,2,social,baseline,Alternative 3,Original,0.434931838,0,0.133789202,0.102617891,0.095906855
10,N,2,social,baseline,Alternative 1,Alternative 2,0.991554195,0,0.530361594,0.038840648,0.383511306
10,N,2,social,baseline,Alternative 1,Original,0.59276679,0,0.255264688,0.097367147,0.142767807
10,N,2,social,baseline,Alternative 2,Original,1.055756338,0,0.522712083,0.102617891,0.327808473
13,P,2,social,scout,Alternative 3,Alternative 1,0.939143838,0,0.32128984,0.196722149,0.2244097
13,P,2,social,scout,Alternative 3,Alternative 2,0.973195737,0,0.273805207,0.251923786,0.195542958
13,P,2,social,scout,Alternative 3,Original,1.040576193,0.083333333,0.212798094,0.280545267,0.183354233
13,P,2,social,scout,Alternative 1,Alternative 2,1.159594097,0,0.376398147,0.303238194,0.176719563
13,P,2,social,scout,Alternative 1,Original,1.030949994,0.083333333,0.287015491,0.225942091,0.208716987
13,P,2,social,scout,Alternative 2,Original,1.141722845,0.083333333,0.291677827,0.316086133,0.134539419
4,P,2,social,scout,Alternative 3,Alternative 1,1.194423902,0.083333333,0.486213032,0.144065641,0.336746255
4,P,2,social,scout,Alternative 3,Alternative 2,0.815688188,0.083333333,0.242606451,0.152806721,0.184134962
4,P,2,social,scout,Alternative 3,Original,1.375804,0.083333333,0.576458666,0.160874433,0.394263135
4,P,2,social,scout,Alternative 1,Alternative 2,0.604883745,0.083333333,0.258877392,0.050940994,0.160791032
4,P,2,social,scout,Alternative 1,Original,0.649009211,0.083333333,0.195681383,0.099361849,0.171270797
4,P,2,social,scout,Alternative 2,Original,0.857058745,0,0.413132004,0.093020343,0.257886056
8,N,1,social,scout,Alternative 3,Alternative 1,1.041698513,0.090909091,0.320583564,0.193741149,0.24272356
8,N,1,social,scout,Alternative 3,Alternative 2,1.074532713,0.083333333,0.277480027,0.24183145,0.230056451
8,N,1,social,scout,Alternative 3,Original,1.329698143,0.083333333,0.566700515,0.123379875,0.432904545
8,N,1,social,scout,Alternative 1,Alternative 2,0.674539236,0.090909091,0.156186376,0.15442551,0.118592749
8,N,1,social,scout,Alternative 1,Original,1.525085203,0.090909091,0.619673291,0.198196705,0.41810941
8,N,1,social,scout,Alternative 2,Original,1.416197555,0,0.554101983,0.246797231,0.368501109
18,N,1,social,scout,Alternative 3,Alternative 1,0.899382165,0.083333333,0.217430406,0.236083479,0.126451468
18,N,1,social,scout,Alternative 3,Alternative 2,0.780980872,0.083333333,0.145995341,0.253484847,0.044682504
18,N,1,social,scout,Alternative 3,Original,0.981484686,0.083333333,0.211541415,0.266118794,0.154372349
18,N,1,social,scout,Alternative 1,Alternative 2,0.50841353,0,0.16227729,0.111096749,0.123942744
18,N,1,social,scout,Alternative 1,Original,0.636627634,0,0.200929457,0.147001626,0.141694925
18,N,1,social,scout,Alternative 2,Original,0.65919207,0,0.19338431,0.156475775,0.15285621
5,N,1,social,baseline,Alternative 3,Alternative 1,0.501952253,0,0.17729712,0.10434834,0.115958453
5,N,1,social,baseline,Alternative 3,Alternative 2,0.535234692,0,0.222378174,0.102713667,0.107429184
5,N,1,social,baseline,Alternative 3,Original,0.7713967,0.083333333,0.327595342,0.102713765,0.155040495
5,N,1,social,baseline,Alternative 1,Alternative 2,0.307086717,0,0.169057255,0.01839779,0.101233882
5,N,1,social,baseline,Alternative 1,Original,0.480527675,0.083333333,0.239026109,0.018398337,0.121371559
5,N,1,social,baseline,Alternative 2,Original,0.334009657,0.083333333,0.157364334,0.000141921,0.093028147
